timepoint,nominal_load,actual_load,dispatch_Solar,dispatch_Wind,dispatch_Gas,curtail_Solar,curtail_Wind,curtail_Gas,curtail_charge,dispatched_charge,battery_capacity
2020-01-23 00:00,532.598516655,532.598516655,44.1571166550001,0.0,0.0,280.0999279849999,0.0,0.0,0.0,488.4414,488.4414
2020-01-23 02:00,482.672997961,482.672997961,0.0,0.0,0.0,324.25704464,0.0,0.0,0.0,482.672997961,488.4414
2020-01-23 04:00,564.319411133,564.319411133,0.0,0.0,0.0,324.25704464,0.0,0.0,0.0,564.319411133,564.319411133
2020-01-23 06:00,845.770985082,845.770985082,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,521.513940442,521.513940442
2020-01-23 08:00,918.921213665,918.921213665,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,594.664169025,594.664169025
2020-01-23 10:00,957.789031729,957.789031729,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,633.531987089,633.531987089
2020-01-23 12:00,968.355032392,968.355032392,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,644.097987752,644.097987752
2020-01-23 14:00,959.755831599,959.755831599,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,635.498786959,635.498786959
2020-01-23 16:00,952.048600371,952.048600371,324.25704464,2.5021565616637e-13,0.0,0.0,-2.5021565616637e-13,0.0,0.0,627.791555731,627.791555731
2020-01-23 18:00,1054.70131556,1054.70131556,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,730.44427092,730.44427092
2020-01-23 20:00,926.331121705,926.331121705,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,602.074077065,602.074077065
2020-01-23 22:00,696.143020798,696.143020798,207.701620798,0.0,0.0,116.55542384200001,0.0,0.0,0.0,488.4414,488.4414
2020-02-23 00:00,572.735611598,572.735611598,84.2942115980001,0.0,0.0,239.9628330419999,0.0,0.0,0.0,488.4414,488.4414
2020-02-23 02:00,502.066845136,502.066845136,13.6254451360001,0.0,0.0,310.6315995039999,0.0,0.0,0.0,488.4414,488.4414
2020-02-23 04:00,518.144561644,518.144561644,29.703161644,0.0,0.0,294.553882996,0.0,0.0,0.0,488.4414,488.4414
2020-02-23 06:00,647.589655597,647.589655597,159.148255597,0.0,0.0,165.108789043,0.0,0.0,0.0,488.4414,488.4414
2020-02-23 08:00,853.055124018,853.055124018,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,528.798079378,528.798079378
2020-02-23 10:00,937.926307282,937.926307282,324.25704464,1.86561121848914e-29,0.0,0.0,-1.86561121848914e-29,0.0,0.0,613.669262642,613.669262642
2020-02-23 12:00,941.16238403,941.16238403,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,616.90533939,616.90533939
2020-02-23 14:00,936.325368481,936.325368481,324.25704464,0.0,0.0,0.0,0.0,0.0,0.0,612.068323841,612.068323841
